Department,Sub-Department,Skills,Experience,Job Role
Professional Services,Support Services,"Customer Service, Technical Support, Incident Management, IT Troubleshooting",2-3 years in project management,Support Services Specialist
Product Management,ERP/ERP/PMS Solutions,"Product Lifecycle Management, Vendor Management, ERP Deployment, Agile Development, Customer Support",3-5 years in product management,ERP/ERP/PMS Solutions Specialist
Product Development,Data Base,"Database Security, NoSQL Databases, Database Optimization, SQL Database, ETL Processes",3-5 years in front-end development,Data Base Specialist
Professional Services,Infrastructure Design Consulting,"Network Architecture, Virtualization, IT Infrastructure, Data Center Planning, Cloud Computing",2-3 years in project management,Infrastructure Design Consulting Specialist
Product Management,Marketing/Communication,"Content Marketing, Brand Development, Social Media Strategy, Public Relations, SEO Optimization",3-5 years in product management,Marketing/Communication Specialist
Finance,Budgeting,"Cash Flow Management, Risk Management, Financial Reporting, Cost Analysis, Budget Planning",2-3 years in financial analysis,Budgeting Specialist
Administration,Admin Office,"Event Planning, Client Communication, Office Management, Document Management, Scheduling",3-5 years in facility maintenance,Admin Office Specialist
Finance,Sales,"Account Reconciliation, Revenue Reporting, Sales Analytics, Financial Reporting, Client Budgeting",3-5 years in accounting,Sales Specialist
Human Resources,Recruitment,"Interviewing, Job Posting, Hiring Strategy, Employee Onboarding, Talent Acquisition",2-3 years in recruitment,Recruitment Specialist
Product Management,Marketing/Communication,"Content Marketing, Social Media Strategy, SEO Optimization, Brand Development, Public Relations",2-3 years in marketing,Marketing/Communication Specialist
Product Development,Mobile Apps,"iOS Development, Mobile Testing, Android Development, React Native, Mobile UI/UX",3-5 years in mobile app development,Mobile Apps Specialist
Professional Services,Infrastructure Design Consulting,"Network Architecture, Data Center Planning, IT Infrastructure, Cloud Computing, Virtualization",5-7 years in technical support,Infrastructure Design Consulting Specialist
Finance,Cash Management,"Investment Analysis, Bank Reconciliation, Treasury Management, Cash Flow Forecasting, Liquidity Management",3-5 years in accounting,Cash Management Specialist
Business Development,MENAT/Gulf,"Regional Marketing, Market Penetration, Customer Acquisition, Sales Territory Management",3-5 years in sales strategy,MENAT/Gulf Specialist
Product Development,Education Solutions,"Java, Cloud Solutions, Data Analytics, Software Development, System Integration",2-3 years in software development,Education Solutions Specialist
Human Resources,Personnel,"Employee Relations, Workforce Planning, Payroll Management, Compliance Management, HR Policies",3-5 years in payroll management,Personnel Specialist
Finance,Budgeting,"Cash Flow Management, Risk Management, Financial Reporting, Budget Planning, Cost Analysis",3-5 years in accounting,Budgeting Specialist
Human Resources,Personnel,"HR Policies, Payroll Management, Employee Relations, Compliance Management, Workforce Planning",2-3 years in recruitment,Personnel Specialist
Finance,General Ledger,"Financial Accounting, Journal Entries, Audit Preparation, Account Reconciliation, Month-End Closing",3-5 years in accounting,General Ledger Specialist
Product Management,Quality Management,"Compliance Standards, Test Automation, Regulatory Requirements, Process Improvement",3-5 years in customer communication,Quality Management Specialist
Administration,Security & Utility,"Compliance Management, Facility Security, Energy Management, Risk Assessment, Security Management",3-5 years in facility maintenance,Security & Utility Specialist
Product Management,ERP/ERP/PMS Solutions,"Customer Support, Product Lifecycle Management, ERP Deployment, Agile Development, Vendor Management",3-5 years in product management,ERP/ERP/PMS Solutions Specialist
Professional Services,Documentation,"Business Requirements, Knowledge Management, Product Documentation, Process Documentation",3-5 years in infrastructure design,Documentation Specialist
Product Development,Education Solutions,"Data Analytics, Java, System Integration, Cloud Solutions, Software Development",3-5 years in mobile app development,Education Solutions Specialist
Product Development,Mobile Apps,"Mobile UI/UX, Android Development, Mobile Testing, React Native, iOS Development",2-3 years in software development,Mobile Apps Specialist
Professional Services,Infrastructure Design Consulting,"Cloud Computing, Network Architecture, IT Infrastructure, Data Center Planning",5-7 years in technical support,Infrastructure Design Consulting Specialist
Business Development,Bids,"Tender Management, Competitive Analysis, Proposal Writing, Contract Negotiation",3-5 years in negotiation,Bids Specialist
Finance,General Ledger,"Account Reconciliation, Audit Preparation, Month-End Closing, Financial Accounting, Journal Entries",2-3 years in financial analysis,General Ledger Specialist
Business Development,MENAT/Gulf,"Multilingual Communication, Customer Acquisition, Regional Marketing, Market Penetration",3-5 years in negotiation,MENAT/Gulf Specialist
Product Management,Quality Management,"Regulatory Requirements, Test Automation, Compliance Standards, Process Improvement, Quality Assurance",2-3 years in marketing,Quality Management Specialist
Human Resources,Recruitment,"Hiring Strategy, Job Posting, Employee Onboarding, Interviewing, Talent Acquisition",3-5 years in payroll management,Recruitment Specialist
Finance,General Ledger,"Audit Preparation, Month-End Closing, Journal Entries, Financial Accounting, Account Reconciliation",2-3 years in financial analysis,General Ledger Specialist
Product Management,Education Solutions,"Market Research, Customer Analysis, Product Roadmap, Business Strategy",3-5 years in product management,Education Solutions Specialist
Human Resources,HRIS,"HR Information Systems, Employee Records Management, HR Software Integration, Data Analytics, Benefits Administration",2-3 years in recruitment,HRIS Specialist
Professional Services,PMO,"Risk Management, Stakeholder Communication, Project Scheduling, Agile Methodology, Project Management",5-7 years in technical support,PMO Specialist
Product Management,Marketing/Communication,"SEO Optimization, Content Marketing, Public Relations, Social Media Strategy, Brand Development",3-5 years in product management,Marketing/Communication Specialist
Finance,Budgeting,"Budget Planning, Risk Management, Financial Reporting, Cost Analysis",3-5 years in budgeting,Budgeting Specialist
Product Management,ERP/ERP/PMS Solutions,"Customer Support, Agile Development, Vendor Management, Product Lifecycle Management, ERP Deployment",3-5 years in product management,ERP/ERP/PMS Solutions Specialist
Product Development,Mobile Apps,"React Native, Android Development, iOS Development, Mobile Testing, Mobile UI/UX",2-3 years in software development,Mobile Apps Specialist
Human Resources,Personnel,"Employee Relations, Payroll Management, Compliance Management, Workforce Planning",3-5 years in payroll management,Personnel Specialist
Finance,Cash Management,"Investment Analysis, Cash Flow Forecasting, Bank Reconciliation, Liquidity Management, Treasury Management",2-3 years in financial analysis,Cash Management Specialist
Professional Services,Infrastructure Design Consulting,"Network Architecture, Virtualization, IT Infrastructure, Cloud Computing, Data Center Planning",2-3 years in project management,Infrastructure Design Consulting Specialist
Professional Services,Support Services,"Incident Management, Technical Support, IT Troubleshooting, Customer Service, Customer Communication",2-3 years in project management,Support Services Specialist
Business Development,Pre-Sales,"Technical Presentations, Solution Design, Client Interaction, Sales Engineering, Product Demonstrations",2-3 years in market analysis,Pre-Sales Specialist
Business Development,Pre-Sales,"Sales Engineering, Solution Design, Product Demonstrations, Technical Presentations",3-5 years in sales strategy,Pre-Sales Specialist
Product Management,Quality Management,"Compliance Standards, Regulatory Requirements, Process Improvement, Quality Assurance, Test Automation",3-5 years in customer communication,Quality Management Specialist
Product Management,ERP/ERP/PMS Solutions,"Customer Support, Vendor Management, Product Lifecycle Management, ERP Deployment, Agile Development",3-5 years in customer communication,ERP/ERP/PMS Solutions Specialist
Administration,Admin Office,"Event Planning, Office Management, Client Communication, Document Management",2-3 years in office management,Admin Office Specialist
Administration,Security & Utility,"Security Management, Facility Security, Energy Management, Risk Assessment",2-3 years in security management,Security & Utility Specialist
